,ema3,ema13,ema144,high,low,close,open,start,end,buy,sell,loss,balance,date
1497214800.0,2875.7145714285716,2882.498875297441,2840.426020787831,2880.0,2855.004,2869.053,2865.03,1497214800.0,1497216600.0,,0.1611325417,,461.646343295917,2017-06-12 02:00:00
1497216600.0,2871.316142857143,2881.1090344782865,2841.00373113483,2890.776,2854.5,2890.269,2869.053,1497216600.0,1497218400.0,,,,461.1846969526,2017-06-12 02:30:00
1497218400.0,2880.598857142857,2883.091314938319,2841.8958102518436,2901.499,2884.036,2901.497,2890.269,1497218400.0,1497220200.0,,,,461.1846969526,2017-06-12 03:00:00
1497220200.0,2893.6541428571427,2885.663763690788,2842.95643475745,2901.499,2886.226,2890.512,2901.497,1497220200.0,1497222000.0,0.002653516227492217,,,461.1846969526,2017-06-12 03:30:00
1497222000.0,2893.6158571428573,2886.178575521976,2843.8012498976227,2910.0,2890.0,2909.999,2890.505,1497222000.0,1497223800.0,,,,458.9792238620592,2017-06-12 04:00:00
1497223800.0,2903.2167142857143,2889.774911464574,2844.9320896252043,2929.998,2902.286,2924.876,2909.999,1497223800.0,1497225600.0,,,,462.0735296927908,2017-06-12 04:30:00
1497225600.0,2915.716285714286,2895.5070253135837,2846.282024867248,2930.0,2916.923,2929.975,2924.874,1497225600.0,1497227400.0,,,,464.4358218795716,2017-06-12 05:00:00
1497227400.0,2925.6644285714283,2901.5205290544473,2847.7018871647474,2948.0,2917.66,2939.747,2929.996,1497227400.0,1497229200.0,,,,465.2454829577725,2017-06-12 05:30:00
1497229200.0,2934.830571428571,2908.422563441523,2849.2589903850594,2947.842,2930.0,2940.0,2939.746,1497229200.0,1497231000.0,,,,466.79716133709763,2017-06-12 06:00:00
1497231000.0,2938.495571428571,2914.402624490736,2850.7782840222076,2947.0,2930.0,2941.889,2940.0,1497231000.0,1497232800.0,,,,466.837334754,2017-06-12 06:30:00
1497232800.0,2941.0432857142855,2919.350626542232,2852.276527709708,2945.0,2920.996,2938.648,2941.889,1497232800.0,1497234600.0,,,,467.1372856809899,2017-06-12 07:00:00
1497234600.0,2939.7671428571434,2923.323725089173,2853.6929417925458,2945.0,2921.006,2921.016,2938.629,1497234600.0,1497236400.0,,,,466.6226530952968,2017-06-12 07:30:00
1497236400.0,2929.035571428572,2923.6180406536764,2854.797485210903,2931.87,2894.931,2904.005,2930.982,1497236400.0,1497238200.0,,,,463.8228993924456,2017-06-12 08:00:00
1497238200.0,2913.8142857142857,2921.6841110921146,2855.644821358852,2913.595,2904.006,2909.161,2905.0,1497238200.0,1497240000.0,,0.0027882090999999942,,461.1217531674455,2017-06-12 08:30:00
1497240000.0,2909.3814285714284,2920.787801270396,2856.5874836094913,2930.887,2909.125,2922.943,2909.155,1497240000.0,1497241800.0,,,,460.6606314143,2017-06-12 09:00:00
1497241800.0,2916.2998571428575,2921.82293018186,2857.721522687312,2944.0,2916.389,2943.991,2922.943,1497241800.0,1497243600.0,,,,460.6606314143,2017-06-12 09:30:00
1497243600.0,2933.0015714285714,2925.9356098754924,2859.1683417804447,2943.995,2891.016,2900.006,2943.995,1497243600.0,1497245400.0,0.055509637611480464,,,460.6606314143,2017-06-12 10:00:00
1497245400.0,2915.849857142857,2922.442693128176,2859.9064942625846,2915.3,2889.362,2909.998,2900.006,1497245400.0,1497247200.0,,,0.1563184028,436.1232228211,2017-06-12 10:30:00
1497247200.0,2911.999285714286,2920.664857566595,2860.7960132132034,2909.998,2883.077,2908.336,2900.007,1497247200.0,1497249000.0,,,,436.1232228211,2017-06-12 11:00:00
1497249000.0,2907.620857142857,2918.5354522267767,2861.6446050693066,2920.0,2882.995,2900.0,2908.336,1497249000.0,1497250800.0,,,,436.1232228211,2017-06-12 11:30:00
1497250800.0,2903.81,2915.2203602445734,2862.3744054132535,2921.0,2883.001,2902.48,2900.0,1497250800.0,1497252600.0,,,,436.1232228211,2017-06-12 12:00:00
